Charlotte Hornets,F,98,"Kulboka, Arnoldas (TW)",6 ft 10 in (2.08 m),209 lb (95 kg),1998-01-04,Lithuania
Charlotte Hornets,G,16,"Lewis, Scottie (TW)",6 ft 5 in (1.96 m),185 lb (84 kg),2000-03-12,Florida
Charlotte Hornets,F,11,"Martin, Cody ",6 ft 6 in (1.98 m),205 lb (93 kg),1995-09-28,Nevada
Charlotte Hornets,F/C,6,"McDaniels, Jalen ",6 ft 9 in (2.06 m),205 lb (93 kg),1998-01-31,San Diego State
Charlotte Hornets,G/F,12,"Oubre, Kelly",6 ft 6 in (1.98 m),203 lb (92 kg),1995-12-09,Kansas
Charlotte Hornets,F/C,24,"Plumlee, Mason",6 ft 11 in (2.11 m),254 lb (115 kg),1990-03-05,Duke
Charlotte Hornets,C,14,"Richards, Nick",7 ft 0 in (2.13 m),245 lb (111 kg),1997-11-29,Kentucky
Charlotte Hornets,G,3,"Rozier, Terry",6 ft 1 in (1.85 m),190 lb (86 kg),1994-03-17,Louisville
Charlotte Hornets,G,–,"Thomas, Isaiah",5 ft 9 in (1.75 m),185 lb (84 kg),1989-02-07,Washington
Charlotte Hornets,F,21,"Thor, JT",6 ft 9 in (2.06 m),203 lb (92 kg),2002-08-26,Auburn
Charlotte Hornets,F,25,"Washington, P. J.",6 ft 7 in (2.01 m),230 lb (104 kg),1998-08-23,Kentucky
Miami Heat,F/C,13,"Adebayo, Bam",6 ft 9 in (2.06 m),255 lb (116 kg),1997-07-18,Kentucky
Miami Heat,F,22,"Butler, Jimmy",6 ft 7 in (2.01 m),230 lb (104 kg),1989-09-14,Marquette
Miami Heat,C,21,"Dedmon, Dewayne",7 ft 0 in (2.13 m),245 lb (111 kg),1989-08-12,Southern California
Miami Heat,G,5,"Guy, Kyle (TW)",6 ft 1 in (1.85 m),167 lb (76 kg),1997-06-11,Virginia
Miami Heat,F,40,"Haslem, Udonis",6 ft 8 in (2.03 m),235 lb (107 kg),1980-06-09,Florida
Miami Heat,G,14,"Herro, Tyler",6 ft 5 in (1.96 m),195 lb (88 kg),2000-01-20,Kentucky
Miami Heat,F,24,"Highsmith, Haywood",6 ft 4 in (1.93 m),220 lb (100 kg),1996-12-09,Wheeling
Miami Heat,G,7,"Lowry, Kyle",6 ft 0 in (1.83 m),196 lb (89 kg),1986-03-25,Villanova
Miami Heat,F,16,"Martin, Caleb",6 ft 5 in (1.96 m),205 lb (93 kg),1995-09-28,Nevada
Miami Heat,F,8,"Morris, Markieff ",6 ft 9 in (2.06 m),245 lb (111 kg),1989-09-02,Kansas
Miami Heat,G,4,"Oladipo, Victor ",6 ft 4 in (1.93 m),213 lb (97 kg),1992-05-04,Indiana
Miami Heat,F,55,"Robinson, Duncan",6 ft 7 in (2.01 m),215 lb (98 kg),1994-04-22,Michigan
Miami Heat,G,15,"Smart, Javonte (TW)",6 ft 4 in (1.93 m),205 lb (93 kg),1996-06-03,LSU
Miami Heat,G/F,31,"Strus, Max",6 ft 5 in (1.96 m),215 lb (98 kg),1996-03-28,DePaul
Miami Heat,F,17,"Tucker, P. J.",6 ft 5 in (1.96 m),245 lb (111 kg),1985-05-05,Texas
Miami Heat,G,2,"Vincent, Gabe",6 ft 3 in (1.91 m),200 lb (91 kg),1996-06-14,UC Santa Barbara
Miami Heat,C,77,"Yurtseven, Ömer",7 ft 0 in (2.13 m),275 lb (125 kg),1998-06-19,Georgetown
Orlando Magic,G,50,"Anthony, Cole",6 ft 3 in (1.91 m),185 lb (84 kg),2000-05-15,North Carolina
Orlando Magic,C,5,"Bamba, Mo",7 ft 0 in (2.13 m),231 lb (105 kg),1998-05-12,Texas
Orlando Magic,F/C,10,"Bol, Bol ",7 ft 2 in (2.18 m),220 lb (100 kg),1999-11-16,Oregon
Orlando Magic,F,17,"Brazdeikis, Ignas (TW)",6 ft 6 in (1.98 m),221 lb (100 kg),1999-01-08,Michigan
Orlando Magic,C,34,"Carter, Wendell",6 ft 10 in (2.08 m),270 lb (122 kg),1999-04-16,Duke
Orlando Magic,G,20,"Fultz, Markelle",6 ft 3 in (1.91 m),209 lb (95 kg),1998-05-29,Washington
Orlando Magic,G,13,"Hampton, R. J.",6 ft 4 in (1.93 m),175 lb (79 kg),2001-02-07,Little Elm (TX)
